Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Acer platanoides",1.4061,0.67523,0.54687,0.7112,187.69,2.4908,98.341,308.95,100.14,99.466,0.97966,0.9586,0.60465,1.3561,6.5464,13,30.832,23.533,86.307,13,31.806,19.656,-59.462
"Acer platanoides",1.3307,0.47726,0.58056,0.75146,211.77,2.2112,109.64,233.48,110.39,99.733,0.98685,0.98586,0.64945,1.2979,6.4506,9,36.143,29.744,109.44,8,49.38,29.758,-71.208
"Acer platanoides",1.3338,0.46686,0.55808,0.74972,213.96,2.184,111.07,236.24,112.07,109.25,0.97691,0.99508,0.65175,1.3023,6.4918,9,36.668,30.141,110.25,9,44.466,27.216,-72.391
"Acer platanoides",1.3339,0.48082,0.54432,0.7497,199.46,2.1868,103.39,211.09,104.18,93.007,1.009,0.98791,0.65232,1.2882,6.5248,9,34.191,28.194,102.81,8,46.579,28.168,-67.441
"Acer platanoides",1.3251,0.47524,0.55312,0.75468,212.34,2.1555,109.85,232.49,110.76,101.01,0.98298,0.99605,0.65833,1.2885,6.4928,9,36.222,29.618,107.21,8,49.773,29.477,-72.315
"Acer platanoides",1.5125,0.69077,0.44289,0.66114,195.94,2.8501,104.8,449.56,106.62,122.97,0.96568,0.96761,0.55373,1.4014,7.0538,12,44.053,33.051,92.825,12,37.02,26.717,-58.032
"Acer platanoides",1.5123,0.69202,0.44991,0.66126,196.63,2.8353,105.08,457.97,106.6,75.677,1.0271,0.98855,0.55564,1.3985,7.2059,15,36.142,26.951,73.374,15,31.104,22.187,-58.389
"Acer platanoides",1.5004,0.69296,0.45095,0.66649,185.64,2.8871,99.119,414.78,101.06,116.51,0.96499,0.96542,0.55114,1.402,6.8865,11,43.715,33.222,84.618,11,36.598,26.601,-54.628
"Acer platanoides",1.5021,0.69496,0.46199,0.66572,176.63,2.8668,94.496,374.72,95.889,78.528,1.033,0.9697,0.55198,1.4006,6.868,10,52.708,34.795,79.939,9,42.018,30.73,-52.161
"Acer platanoides",1.3977,0.28573,0.52356,0.71548,163.61,2.6685,83.675,170.22,84.469,86.297,0.94704,1.0275,0.5985,1.4973,6.5289,16,22.946,17.018,85.294,16,25.651,15.013,-50.08
"Acer platanoides",1.4068,0.28045,0.48256,0.71083,172.42,2.6562,88.292,188.39,88.866,91.425,1.0353,1.0309,0.5991,1.4859,6.5018,16,25.507,18.124,89.46,16,25.818,16.071,-52.896
"Acer platanoides",1.396,0.66476,0.50767,0.71634,300.91,2.5966,158.85,755.4,162.59,153.27,1.0172,0.9522,0.58778,1.345,6.6367,11,59.287,44.829,151.79,10,64.016,41.979,-93.37
"Acer platanoides",1.3877,0.6643,0.54546,0.72063,315.02,2.5522,165.5,804.59,168.21,101.01,0.9776,0.95728,0.59573,1.3483,6.7447,11,50.719,46.376,103.15,11,61.016,39.711,-98.594
"Acer platanoides",1.3953,0.66432,0.51396,0.7167,284.96,2.6184,150.23,685.09,153.58,142.98,1.0173,0.94802,0.58613,1.3486,6.6192,11,46.8,42.332,143.96,10,59.908,39.578,-88.053
"Acer platanoides",1.3936,0.66529,0.5452,0.71759,285.85,2.5825,150.74,666.94,153.74,196.85,0.97733,0.95535,0.59003,1.3401,6.6633,11,47.978,42.481,143.48,10,59.94,39.792,-88.939
